[2025-05-05T00:03:55.746Z] User ID: 7, Username: undefined, Email: teste3@gmail.com
[2025-05-05T00:04:46.676Z] User ID: 7, Username: undefined, Email: teste3@gmail.com
[2025-05-05T00:04:59.775Z] User ID: 7, Username: undefined, Email: teste3@gmail.com
[2025-05-05T00:08:58.923Z] User ID: 5, Username: undefined, Email: carlos2@gmail.com
[2025-05-05T00:14:39.096Z] User ID: 5, Username: undefined, Email: carlos2@gmail.com
[2025-05-05T00:14:59.247Z] User ID: 5, Username: undefined, Email: carlos2@gmail.com
[2025-05-05T00:15:53.998Z] User ID: 5, Username: undefined, Email: carlos2@gmail.com
[2025-05-05T00:16:29.672Z] User ID: 5, Username: undefined, Email: carlos2@gmail.com
[2025-05-05T00:18:13.550Z] User ID: 5, Username: undefined, Email: carlos2@gmail.com
[2025-05-05T00:18:35.056Z] User ID: 5, Username: undefined, Email: carlos2@gmail.com
[2025-05-05T00:21:28.272Z] User ID: 5, Username: Carlos2, Email: carlos2@gmail.com
[2025-05-05T00:22:18.246Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T01:51:20.935Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T01:51:59.975Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T01:54:29.926Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T01:55:51.641Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T01:56:04.005Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T02:02:12.841Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T02:02:25.457Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T02:05:22.246Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T02:13:24.419Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T02:13:50.894Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T02:14:35.928Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T02:14:45.102Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:16:28.011Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:18:00.884Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:18:17.405Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:18:28.688Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:22:39.655Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:23:14.545Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:23:29.843Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:23:57.187Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:24:01.212Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:24:09.264Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-05T16:24:21.805Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:36:58.418Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:50:56.734Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:50:56.782Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:45.360Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:45.396Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:48.657Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:48.667Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:51.603Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:51.612Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:52.487Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:52.497Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:53.698Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:51:53.711Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:53:01.070Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:53:01.106Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:53:03.893Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:53:03.901Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:53:05.520Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
[2025-05-06T00:53:05.530Z] User ID: 7, Username: Gabriel, Email: teste3@gmail.com
